name=RTK_primaries;context=kanji;reversible=False;ordered=True,,,,,,,
meaning,strokes,primaries,index,kanji,kunyo,onyo,hook
word,14,"*words, I",371,語,ゴ,かた・らう　　かた・る,"Am 'I' separate from my WORDS? Yes, according to the reading of this kanji - 'words' on one side, 'I' on the other."
read,14,"*words, sell",372,読,ドク　　トク　　トウr,よ・む,"In this age of advertising, alas, most of the 'words' we READ are meant to 'sell' us something, hence this very modern kanji."
tune,15,"*words, *lap",373,調,チョウ,しら・べる　　ととの・う　　ととの・える,"A catchy TUNE is not merely a succession of notes, but one or more 'laps' of the 'words' that go with it."
discuss,15,"*words, inflammation",374,談,ダン,,"In almost every attempt to DISCUSS an issue, the fervor of one's convictions bursts forth as 'inflaming' 'words'. "
consent,15,"*words, young",375,諾,ダク,,The 'words' of the 'young' have no legal bearing without the CONSENT of their parents.
rebuke,16,"*words, meeting of butchers",376,諭,ユ,さと・す,Words' spoken at those infamous 'meetings of butchers' often take the tenor of REBUKES.
,6,,377,式,シキ,,"In former times, every warrior 'crafted' their own 'arrows' according to their own particular STYLE (so there would never be debate as to who shot what)."
,13,,378,試,シ,こころ・みる　　ため・す,"When TESTING a new 'style' for market, designers closely heed the 'words' of focus groups."
,6,,379,弐,ニ,,Two 'arrows' in a 'quiver' resemble the numeral II. Don't forget to draw all the horizontal lines first.
,11,,380,域,イキ,,"Ah, home on the RANGE! This kanji depicts a cowboy returning to his 'land' after a successful trip to market. He presses his 'mouth' against the 'floor' in gratitude, then enjoys a boisterous family 'fiesta'."
,13,,381,賊,ゾク,,"From the point of view of a BURGLAR, a 'fiesta' is but an opportunity to dust off the old lockpicking 'needles' and raid the family's 'shells' (i.e. cash). The shells naturally come first to our attention, with the lockpick below and the fiesta in the background."
,10,,382,栽,サイ,,"On a PLANTATION, a farmer invites her 'trees' to 'Thanksgiving' (a kind of 'land' 'fiesta')."
,13,,383,載,サイ,の・せる　　の・る,LOAD the 'cart' with bales for the beloved 'Thanksgiving' hay ride.
,8,,384,茂,モ,しげ・る,"After the 'parade' (the 'enclosed fiesta') of 'flowers' was called off, the unused blossoms became beautifully OVERGROWN (note that the 'flowers', in an exception, go on top, having escaped the 'parade')."
,11,,385,戚,セキ,,"Think of a 'parade' of disagreeable RELATIVES; how 'little' they boast 'above', so to speak."
,6,,386,成,セイ　　ジョウr,な・す　　な・る,"Thanks to a scheduling error, a 'parade' abruptly TURNED INTO a 'dagger' fight when the marchers happened upon on an unrelated mafia event."
,9,,387,城,ジョウ,しろ,"In this kanji, we see a mound of 'dirt' being magically 'turned into' a magnificent CASTLE (or was it all in one's imagination?)"
,13,,388,誠,セイ,まこと,The sure sign of SINCERITY is that one's 'words' are 'turned into' deeds.
,9,,389,威,イ,,What could be more INTIMIDATING to the patriarchy than the sight of 'women' on the 'march'? (and a 'march' is a 'parade' with 'singular' purpose)
,13,,390,滅,メツ,ほろ・びる　　ほろ・ぼす,"Picture a 'march' of 'flames' protesting the fire department, only to be DESTROYED (rather predictably) by 'water'."
,12,,391,減,ゲン,へ・らす　　へ・る,A 'march' of unquenchable 'mouths' will soon cause the 'water' supply to DWINDLE.
,14,,392,蔑,ベツ,さげす・む,"The 'march' of 'flowers' was REVILED by the conservative elites, who cast a baleful 'eye' over proceedings."
,10,,393,桟,サン,,The first SCAFFOLDS were erected to construct magnificent (parade) 'floats' out of mighty 'trees' (a 'float' is a 'fiesta' with two extra lines for the platform).
,14,,394,銭,セン,ぜに,Most common people only get precious COINS when the 'gold' is hurled at them from 'floats' by their betters.
,9,,395,浅,セン,あさ・い,An entourage of 'floats' going from place to place must be sure to ford in SHALLOW 'waters' to avoid disaster. Picture what would happen if they didn't!
,4,,396,止,シ,と・まる　　と・める,"A pictograph of the left *footprint represents STOP. Note the big toe, clearly broken, sticking out at a grotesque right angle."
,8,,397,歩,ホ　　ブ　　フr,あゆ・む　　ある・く,A 'few' 'footprints' indicates going for a WALK.
,11,,398,渉,ショウ,,To FORD a body of 'water' means to 'walk' across it.
,17,,399,頻,ヒン,,Imagine having one's 'head' 'walked' on REPEATEDLY - a horrible image.
,8,,400,肯,コウ,,Footprints' on the 'flesh' indicates AGREEMENT extorted by severe means.
,6,,401,企,キ,くわだ・てる,To UNDERTAKE a project is to take an idea floating like an 'umbrella' and 'stopping' it so it can take root.
,14,,402,歴,レキ,,"A school CURRICULUM is like the 'grove of trees' whose cycles of growth over the cliff captured the idea of a calendar - except here, the cycle is 'stopped', just as a CURRICULUM 'stops' the natural cycle of learning."
,8,,403,武,ブ　　ム,,The ancient WARRIOR plants his 'quiver' in the mud and vows to 'stop' his foes at any cost.
,15,,404,賦,フ,,"As the 'warrior' passes through town, a LEVY of 'shells' is paid...or extracted."
,5,,405,正,セイ　　ショウ,ただ・しい　　ただ・す　　まさ,A CORRECT path begins with 'one' good 'step'. Imagine Confucian teachers schooling a toddler in the correct way to walk. Would the baby ever take even 'one' 'step' after all that overzealous CORRECTION?
,12,,406,証,ショウ,,Words' that testify to the 'correctness' of some fact are called EVIDENCE.
,9,,407,政,セイ　　 ショウr,まつりごと,"POLITICS, ideally, is the art of 'correct' 'taskmastering'."
,8,,408,定,テイ　　ジョウ,さだ・か　　さだ・める　　さだ・まる,DETERMINATION is a homeowner 'mending' their 'house' - possibly without the prerequisite skills.
,16,,409,錠,ジョウ,,"A LOCK is an example of 'metal' 'determination'; like the old Znapfian fable of the 'metal' city gate which magically fused, manifesting the city's 'determination' to resist its attackers."
,7,,410,走,ソウ,はし・る,"RUNNING, they say, 'mends' the 'soil'."
,12,,411,超,チョウ,こ・す　　こ・える,A life of 'running' after 'seductions' is that which Buddha teaches one must TRANSCEND.
,9,,412,赴,フ,おもむ・く,"Like Moses with his 'divining rod' before the Red Sea, God proclaiming the Hebrews may PROCEED - 'running', of course."
,12,,413,越,エツ,こ・す　　こ・える,Two 'parades' strive to SURPASS each other by 'running' at speed from town to town.
,9,,414,是,ゼ,,One spends an entire 'day' 'mending' one sock so that it is done JUST SO.
,18,,415,題,ダイ,,A TOPIC is all the information under a 'heading' prepared 'just so'.
,12,,416,堤,テイ,つつみ,"The famous DIKES of the Netherlands are nothing but 'soil' arranged 'just so', with suitably Dutch precision."
,9,,417,建,ケン　　コンr,た・つ　　た・てる,"In order to BUILD something, draw out your plans with a 'brush' and 'stretch' them out to scale in reality."
,17,,418,鍵,ケン,かぎ,What is a KEY but the 'metal' that lets you into your 'building'?
,8,,419,延,エン,の・ばす　　の・びる　　の・べる,"To PROLONG their youthfulness, the Sona from Star Trek 'stretch' their skin and 'stop' it in place with clips, a 'little' bit at a time."
,15,,420,誕,タン,,The first NATIVITY was the 'prolongation' of the 'word' throughout history.
,18,,421,礎,ソ,いしずえ,A CORNERSTONE is a 'stone' demarcating the edge of a wildlife preserve (a 'zoo' in a 'grove').
,12,,422,婿,セイ,むこ,"What makes a man a BRIDEGROOM is a 'woman', her dowry of exotic animals (the 'zoo'), and a 'month' away (aka a honey 'moon')."
,6,,423,衣,イ,ころも,"What we see is a 'top hat' and beneath, a depiction of the folds of a GARMENT. Additional meanings *scarf or *cloak."
,12,,424,裁,サイ,さば・く　　た・つ,"Think of special 'garments' TAILORED for 'Thanksgiving' - in the form of costumes of the pilgrims, one assumes."
,12,,425,装,ソウ　　ショウ,よそお・う,The legendary 'turtle' 'samurai' were ATTIRED with special 'garments'.
,13,,426,裏,リ,うら,A spy disguises the eavesdropping 'computer' on his BACK through use of a 'top hat' and 'scarf'.
,16,,427,壊,カイ,こわ・す　　こわ・れる,"Once upon a time, a ghost was woven a 'garment' so fine it could fit through the 'eye of the needle'. Made corporeal by this new luxury wear, the ghost attempted to pass through a nearby apartment block and predictibly DEMOLISHED it, razing it to the 'ground'."
,9,,428,哀,アイ,あわ・れ　　あわ・れむ,A drunkard in a 'top hat' and filthy 'scarf' with one big 'mouth' wide open guzzling booze - that is the picture of PATHETIC.
,13,,429,遠,エン　　オンr,とお・い,"On the open 'road' you see a figure in the DISTANCE, looking almost like a 'lidded crock' with a 'scarf'."
,13,,430,猿,エン,さる,"This clever MONKEY has caught a 'pack of wild dogs' in a 'lidded crock', tied up with a lovely silk 'scarf' to gift to the dog-catcher."
,7,,431,初,ショ,はじ・め　　はじ・めて　　はつ　　そ・める　　うい,"In the world of 'cloak' and 'dagger', the FIRST TIME is always the hardest."
,3,,432,巾,キン,,A TOWEL is represented as a bolt of cloth wrapped around a pole.
,5,,433,布,フ,ぬの,"Think of lying on crisp new LINENS, with a pile of fresh 'towels' 'by your side'."
,6,,434,帆,ハン,ほ,A SAIL made of a 'towel' makes for a 'mediocre' vessel.
,12,,435,幅,フク,はば,A particularly 'wealthy' man was once so revered that evening his 'towel' was auctioned off to be hung in an entrance hall as a HANGING SCROLL.
,12,,436,帽,ボウ,,"To avoid the 'risk' (of 'sun' in the 'eyes'), one wraps a 'towel' around one's head as a makeshift CAP."
,13,,437,幕,マク　　バク,,A dirty 'towel' at the entrance to a 'graveyard' is the picture of the CURTAIN of death.
,13,,438,幌,,ほろ,A large 'towel' stretched overhead with a few of the 'sun's' 'rays' peeping through is like a beautiful forest CANOPY to the imaginative mind of a youngster.
,16,,439,錦,キン,にしき,The traditional Znapfian BROCADE was little more than a strip of 'white' 'towel' with some 'metal' scraps sowed in.
,5,,440,市,シ,いち,"In the steamy MARKET of Znap, the traditional costume is but a bath 'towel' (for pragmatism) and a 'top hat' (for style)."
,9,,441,柿,,かき,"In the middle of the grand 'market' of Znap, a great PERSIMMON 'tree' grew, its fat fruits so heavy they wreaked havoc on the stalls beneath."
,8,,442,姉,シ,あね,The ELDER SISTER is the 'woman' of the family traditionally expected to go to 'market' for food.
,9,,443,肺,ハイ,,"In Znap, the favourite 'part of the body' on sale in the 'market' is always the LUNGS."
,10,,444,帯,タイ,おび　　お・びる,The part of the 'apron' where the 'buckle' is found is the SASH.
,13,,445,滞,タイ,とどこお・る,A 'water' 'sash' is the favoured garment for those unfortunates doing laundry in the STAGNANT local pond.
,8,,446,刺,シ,さ・す　　さ・さる,THORNS are like a 'belt' of 'sabers' around a 'tree'.
,8,,447,制,セイ,,The Znapfians had a special SYSTEM for slaughtering 'cows' - hanging them up by 'belts' around their ankles and decapitating them with one swift 'saber' slash.
,14,,448,製,セイ,,The ubiquitous MADE IN label is a symbol of the 'systematisation' of the 'garment' industry.
,11,,449,転,テン,ころ・ぶ　　ころ・がる　　ころ・げる　　ころ・がす,"As the wheels of the 'car' REVOLVE, they kick up 'rising clouds' of dust."
,7,,450,芸,ゲイ,,The secret TECHNIQUE of turning a 'rising cloud' into a bouquet of 'flowers' is depicted here.
,8,,451,雨,ウ,あめ　　あまr,"A pictograph of RAIN: the top line is the sky, the frame is two clouds, and the four dots are water."
,12,,452,雲,ウン,くも,A mature CLOUD is made up of 'rising clouds' full of 'rain'.
,16,,453,曇,ドン,くも・る,Sun' and 'clouds' naturally gives us CLOUDY WEATHER.
,13,,454,雷,ライ,かみなり,"When the 'weather' is bad, and the THUNDER is booming, sheltering in a wet, exposed 'rice field' is a bad idea."
,17,,455,霜,ソウ,しも,FROST is a kind of 'inter-' 'weather' - require moistness and chill.
,5,,456,冬,トウ,ふゆ,Walking legs' on 'ice' pretty much describes WINTER.
,4,,457,天,テン,あめ　　あまr,The HEAVENS are where the 'ceiling' 'dog' (or was that Sky God?) dwells. Ironically has the primitive meaning of *witch.
,7,,458,妖,ヨウ,あや・しい,You are BEWITCHED by a 'woman' who is a 'witch'.
,7,,459,沃,ヨク,,"Suffering from drought, the farmers call on a 'witch' to conjure up 'water' for their crops and IRRIGATE them."
,16,,460,橋,キョウ,はし,The Grand BRIDGE of Znap is made of great 'trees' carved into the shape of 'angels'. (And an 'angel' is an 'alien' who is the 'mouth' of the 'heavens')
,15,,461,嬌,キョウ,,Associating a particularly ATTRACTIVE 'woman' with the word 'angel' should not be difficult.
,5,,462,立,リツ　　リュウr,た・つ　　た・てる,This picture of a *vase STANDING UP speaks for itself.
,8,,463,泣,キュウ,な・く,"Next time you CRY, try gathering your tears in a 'vase' so you can 'water' the garden with them."
,11,,464,章,ショウ,,The BADGE of the flower club is appropriately a 'sunflower' in a 'vase'.
,20,,465,競,キョウ　　ケイ,きそ・う　　せ・る,"Two 'teenagers' are here 'standing up' to each other, VYING for their peers' adulation."
,9,,466,帝,テイ,,"A truly inspiring SOVEREIGN is one who 'stands up', dons an 'apron', and pitches in with the dishes once in a while."
,16,,467,諦,テイ,あきら・める,RENUNCIATION is a 'sovereign' 'word' to the Buddhists.
,12,,468,童,ドウ,わらべ,"It would be JUVENILE to punish your defective 'computer' by 'standing' on top of it (and jumping up and down), yet many feel the urge to on occasion."
,17,,469,瞳,ドウ,ひとみ,Juvenile' plus the double-meaning of 'eye' gives us PUPIL.
,20,,470,鐘,ショウ,かね,A BELL was once cast of 'metal' so poor its ringing sounded like the bellowing of 'juveniles'.
,11,,471,商,ショウ,あきな・う,See the peddler 'standing' atop his 'motorcycle helmet'; the 'legs' and 'mouth' depict the essential tools for MAKING A DEAL.
,14,,472,嫡,チャク,,"The sexist Znapfians like to call a man's LEGITIMATE WIFE his 'antique' 'woman'. (And an 'antique' is a 'vase' and an 'old' 'motorcycle helmet', just like on American Pickers.)"
,14,,473,適,テキ,,What could be a less SUITABLE display case for your 'antiques' than the middle of the 'road'?
,14,,474,滴,テキ,しずく　　したた・る,"In ancient limestone caves, 'antique' 'water' DRIPS from the roof, having worked its way down over thousands of years."
,15,,475,敵,テキ,かたき,Everyone's first ENEMY in life is some form of 'antique' 'taskmaster' - a nasty old pedant with a cane and the will to use it.
,2,,476,匕,ヒ,さじ,This is a picture of a baby sitting down holding out a SPOON and asking to be fed. Has the primitive meaning of *sitting on the ground.
,5,,477,叱,シツ,しか・る,The word SCOLD conjures up images of 'sitting on the ground' while a superior runs off at the 'mouth' with you.
,4,,478,匂,,にお・う,Imagine capturing an AROMA by 'binding it up' with a 'spoon' - lovely!
,11,,479,頃,,ころ,"When a drunk family member busts out the old 'head' and 'spoon' trick, it's ABOUT THAT TIME to leave."
,5,,480,北,ホク,きた,"In the NORTHERN hemisphere, the cold wind comes from the NORTH. This pictograph shows two cold peasants 'sitting on the ground' with their backs against one another for warmth."
,9,,481,背,ハイ,せ　　せい　　そむ・く　　そむ・ける,One's STATURE is measured according to the 'northern' -most 'part of the body'.
,4,,482,比,ヒ,くら・べる,"With a 'spoon' in each hand, a cooking show judge COMPARES two broths."
,8,,483,昆,コン,,"By 'comparing' themselves to the 'sun', ancient kings adduced that they were DESCENDED from it."
,9,,484,皆,カイ,みな,Imagine two homemakers 'comparing' the 'whiteness' of their linens in an ad for an ALL -temperature detergent.
,13,,485,楷,カイ,,"BLOCK LETTERS are like tidy rows of 'trees' that are 'all' the same size, so that they may easily be read by 'all'."
,16,,486,諧,カイ,,ORDERLINESS in oratory is having 'all' one's 'words' in good order.
,11,,487,混,コン,ま・ぜる　　ま・ざる　　ま・じる　　こ・む,"MIXED marriage, so a racist's logic goes, 'waters' down one's 'descendants'."
,11,,488,渇,カツ,かわ・く,Imagine a muchacho taking a 'siesta' ('sitting on the ground' 'bound up' in a poncho under the 'sun'). He appeals to you for 'water' to quench his THIRST.
,15,,489,謁,エツ,,Being in the AUDIENCE to hear the 'words' of an important speaker can be the perfect opportunity for a 'siesta'.
,13,,490,褐,カツ,,BROWN is the colour of the 'cloak' of a person having a 'siesta'.
,11,,491,喝,カツ,,"The muchacho having a 'siesta' opens his 'mouth', but his voice is too HOARSE to understand."
,11,,492,葛,カツ,くず,"KUDZU are crawling vines which can rise up from mere 'flowers' in the time it takes you to have a 'siesta'. The association of KUDZU with the warm, humid South of the US helps with the imagery."
,6,,493,旨,シ,むね,"If you find something DELICIOUS, consider spending a 'spoon' 'day' with it."
,10,,494,脂,シ,あぶら,"Too much 'delicious' food will add plenty of 'flesh' to make you FAT. Alternatively, FAT is the most 'delicious' 'flesh'."
,13,,495,詣,ケイ,もう・でる,"In the land of Znap, when one VISITS A SHRINE, one receives a 'delicious' bit of edible paper covered in sacred 'words'."
,7,,496,壱,イチ,,A 'samurai' 'sitting on the ground' wearing a 'crown' clearly believes they are number I (ONE).
,6,,497,毎,マイ,,Behind EVERY successful man 'lies' a woman - usually their 'mama'.
,10,,498,敏,ビン,,"Behind 'every' successful 'taskmaster', the CLEVERNESS of a fox."
,10,,499,梅,バイ,うめ,"Behind 'every' pie maker, a 'tree' full of PLUMS."
,9,,500,海,カイ,うみ,"Behind 'every' 'drop of water', a SEA from which it originated."
,3,,501,乞,,こ・う,Imagine someone 'lying down' in a public place boasting a 'hook' for a hand and BEGGING for a morsel.
,11,,502,乾,カン,かわ・かす　　かわ・く,"In times of DROUGHT, the victims 'beg' for a little 'mist' to relieve them."
,13,,503,腹,フク,はら,"If you 'double back' (fold over) an animal, you usually expose the 'part of the body' known as the ABDOMEN. (And 'doubling back' suggests a traveller doubling back to 'lie down' at the nearest wayhouse and rest their weary 'walking legs' after a long 'day' of travel.)"
,14,,504,複,フク,,"To DUPLICATE something means to 'double it back' with a fold, like the fold of a 'cloak'."
,4,,505,欠,ケツ,か・く　　か・ける,"This is a pictograph of someone yawning, indicating a LACK of sleep - or interest."
,7,,506,吹,スイ,ふ・く,To BLOW is to make one's 'mouth' 'lack' air.
,8,,507,炊,スイ,た・く,"When a novice COOK 'lacks' sufficient attention, a 'fire' is inevitable."
,14,,508,歌,カ,うた・う　　うた,"This SONG is being sung by a line of 'can' 'can' dancers - but the audience, impatient for the main act, are 'yawning'."
,11,,509,軟,ナン,やわ・らか　　やわ・らかい,"If one's 'car' seat is too SOFT, one might start 'yawning' - and soon thereafter, crashing."
,6,,510,次,ジ　　シ,つ・ぐ　　つぎ,"In the height of the summer, locals who 'lack' 'ice' queue up for their ration: the distributor cries, NEXT."
,9,,511,茨,,いばらr,"If you let your 'flowers' grow, 'next' they could turn into a BRIAR."
,13,,512,資,シ,,"The first 'shells' you earn go toward debts; the 'next' shell, though, becomes an ASSET."
,9,,513,姿,シ,すがた,This kanji depicts a 'woman's' FIGURE as a 'second' self.
,16,,514,諮,シ,はか・る,To seek the 'words' of a 'second' 'mouth' is to CONSULT WITH someone about something.
,15,,515,賠,バイ,,A 'muzzle' is like a 'vase' fixed over the 'mouth'. The COMPENSATION given to widowed Znapfian fishermen's wives was colloquially known as the 'clam' 'muzzle'.
,11,,516,培,バイ,つちか・う,"To CULTIVATE the 'soil' is to 'muzzle' it, just as one 'muzzles' a dog to tame it."
,10,,517,剖,ボウ,,"To DIVIDE and conquer, all you need is a 'saber' and a 'muzzle'."
,9,,518,音,オン　　イン,おと　　ね,The kanji for SOUND depicts something 'standing' over a 'tongue wagging in a mouth'.
,13,,519,暗,アン,くら・い,"When DARKNESS covered the earth long ago, there was neither 'sun' nor 'sound'."
,19,,520,韻,イン,,"A RHYME could be called a 'sound' 'employee' - used not merely for its meaning, but its aural qualities too."
,19,,521,識,シキ,,A person of DISCRIMINATING intellect can tell between mere 'kazoo' buzzing (aka the 'sound' of a 'fiesta') and 'words' spoken wisely.
,19,,522,鏡,キョウ,かがみ,"Polished 'metal' was once used for MIRRORS, which one 'stands up' on one's 'human legs' in front of, your 'tongue wagging in the mouth' as you ask who is the fairest of them all."
,14,,523,境,キョウ　　ケイr,さかい,The BOUNDARY of the paranoid farmer's 'land' is marked out with 'mirrors' to help him spot trespassers.
,3,,524,亡,ボウ　　モウr,な・い,"A 'top hat' left on its 'hook' suggests a man who is recently DECEASED - that is to say, a person who has *perished."
,8,,525,盲,モウ,,Deceased' 'eyes' make you BLIND.
,6,,526,妄,モウ　　ボウ,,The ideal 'woman' is no more than a DELUSION; hence 'perish' the thought of her.
,9,,527,荒,コウ,あら・い　　あ・らす　　あ・れる,The 'flowers' that 'perish' in the 'flood' symbolise a region LAID WASTE to.
,11,,528,望,ボウ　　モウ,のぞ・む,"AMBITION is the picture of a 'king' walking under a 'perishing' (waning) 'moon', coming up with plans for the future."
,4,,529,方,ホウ,かた,"Spin a 'dagger' atop a 'top hat' to indicate a randomised DIRECTION, like a *compass."
,7,,530,妨,ボウ,さまた・げる,A society under a 'woman's' 'direction' would DISTURB the patriarchal status quo.
,7,,531,坊,ボウ　 ボッr,,"The character for BOY shows a BOY scout cleaning 'dirt' out of his 'compass'; or alternatively, a BOY heading out in the 'direction' of 'dirt' as they are wont to."
,7,,532,芳,ホウ,かんば・しい,Something that is PERFUMED uses the scent of 'flowers' to 'direct' the attention of passersby.
,8,,533,肪,ボウ,,Someone who is OBESE might acquire so much 'flesh' that a 'compass' would be needed to navigate them.
,11,,534,訪,ホウ,おとず・れる　　たず・ねる,"When you CALL ON someone important, you must use 'compass' 'words' that are meticulously 'directed'."
,8,,535,放,ホウ,はな・す　　はな・つ　　はな・れる　　ほう・る,The 'taskmaster' takes only a quick glance at their 'compass' before choosing a 'direction' to boot their recently SET FREE slave towards.
,16,,536,激,ゲキ,はげ・しい,"Some VIOLENT 'taskmaster' is responsible for the tragedy depicted here: 'white' 'water' foaming around a broken 'compass'. Or perhaps the 'taskmaster' belongs to the stricken vessel itself, having met a VIOLENT end."
,11,,537,脱,ダツ,ぬ・ぐ　　ぬ・げる,To UNDRESS is to expose the 'flesh' and tempt the 'devil' (the 'horny' 'teenager').
,14,,538,説,セツ　　ゼイr,と・く,"To the ignorant and superstitious, a perfectly good EXPLANATION can be dismissed as 'devil's' 'words'."
,15,,539,鋭,エイ,するど・い,"To the Amish, any 'metal' that has been POINTED belongs as much to the 'devil' as man."
,11,,540,曽,ソウ　　ゾr,,A person who was FORMERLY Prime Minister may use their 'horned' 'brain' and 'tongue-wagging mouth' to sow all sorts of political discord. Has the primitive meaning of *increase (derived from the kanji for 'increase').
,14,,541,増,ゾウ,ふ・える　　ふ・やす　　ま・す,This kanji depicts how land that was 'formerly' worthless 'dirt' can rapidly INCREASE in value (the Znapfians were famed property speculators).
,18,,542,贈,ゾウ　　ソウr,おく・る,"Imagine, instead of the usual PRESENTS, you are gifted a mere, miserly dollar bill (a 'shell') - which soon magically 'increases' in value through shifting exchange rates."
,8,,543,東,トウ,ひがし,The EAST is a picture of the 'sun' rising through the 'trees'.
,12,,544,棟,トウ,むね　　むなr,A house's RIDGEPOLE is carved from a single 'tree' and oriented toward the 'east' to maximise sunlight throughout the day.
,10,,545,凍,トウ,こお・る　　こご・える,"In the land of Znap, the FROZEN land to the 'east' was known as the 'icy' 'east'."
,7,,546,妊,ニン,,A PREGNANT 'woman' is like a 'porter' for her child (and 'porter' reminds us of the mere 'drop' of weight carried by the 'samurai' compared to their servant).
,7,,547,廷,テイ,,The 'porters' of justice that run our COURTS too often 'stretch' the law to suit their purposes.
,9,,548,染,セン,そ・まる　　そ・める　　し・み　　し・みる,"A DYE is the 'water' of 'nine' 'trees' - the colourful essence of a variety of plants, one for each colour plus black and white."
,16,,549,燃,ネン,も・える　　も・やす　　も・す,A BURN is the 'sort of thing' you might get if you stray too close to the 'hearth'.
,15,,550,賓,ヒン,,"In the land of Znap, on the occasion of a visit by a VIP to one's 'house', someone must be sent to the 'ceiling' to get a 'few' 'shells' to offer up (naturally such visits are most unwelcome!)"
,13,,551,歳,サイ　　セイr,,"The traditional YEAR-END 'march' of the 'little' ones (chiefly children and dwarfs) is a chance to 'stop' and reflect on the 'little' things that make the 'march' of time bearable. (Alas the march was recently 'stopped' because it was condescending to dwarfs - and children, for that matter)."
,9,,552,県,ケン,,The feared police PREFECTURES of Znap are known for applying tiny 'little' 'fishhooks' to suspects' 'eyes' to extract an admission of guilt.
,9,,553,栃,,とち,The best environment for growing HORSE CHESTNUTS is in heavily wooded 'cliff' sides bedecked with 'ten thousand' 'trees' (remember 'ten thousand' is Japanese for any arbitrarily huge number).
,6,,554,地,チ　　ジ,,"In Znapfian mythology, the first GROUND was the 'soil' on the back of an enormous 'scorpion' flying through space."
,6,,555,池,チ,いけ,"In honour of Aesop's legend, the POND is named the 'water' of the 'scorpion' (the ill-fated frog is nowhere to be seen)."
,6,,556,虫,チュウ,むし,"This pictograph depicts an INSECT, wings a-flutter, perched on a little branch."
,11,,557,蛍,ケイ,ほたる,"This 'schoolhouse' is so poor it is lit by captured 'insects' - LIGHTNING BUGS, to be exact."
,11,,558,蛇,ジャ　　ダ,へび,"The kanji for SNAKE tells the story of an 'insect' which approached a 'house', luring an innocent SNAKE inside who was then beaten to death with a 'spoon'."
,9,,559,虹,,にじ,Znapfians believed that RAINBOWS were 'crafted' by 'insects' shuttling back and forth in the sky after rain.
,15,,560,蝶,チョウ,,"Before caterpillars were discovered, Znapfians saw BUTTERFLY cocoons and assumed it was an 'insect' that spontaneously 'generated' from a 'tree'."
,9,,561,独,ドク,ひと・り,To be a SINGLE man is to live in the company of 'wild dogs' and 'insects'.
,10,,562,蚕,サン,かいこ,The SILKWORM is so prized that its kanji describes 'heaven' opening up to release the priceless 'insect'.
,9,,563,風,フウ　　フr,かぜ　　かざr,"The kanji from which WIND derives represents a horde of 'insects' like 'drops' in the 'wind' - a plague of locusts, the most terrifying wind there is!"
,3,,564,己,コ　　キ,おのれ,"The pictograph for *snake is the kanji for SELF, imagined as a serpentine creature coiling up inside you."
,10,,565,起,キ,お・きる　　お・こす　　お・こる,"A boy was once so eager to ROUSE his parents on Christmas that he cried 'run' - 'snake', which got them out of bed in a hurry."
,6,,566,妃,ヒ,,The misogynist Znapfians had a word for QUEENS - 'woman' 'snakes'.
,7,,567,改,カイ,あらた・まる　　あらた・める,"The goal of the REFORMATION was to drive the 'snakes' from the Church, with Martin Luther as the 'taskmaster'."
,10,,568,記,キ,しる・す,"Overworked SCRIBES tend to put down their 'words' so sloppily that they curl all over the place like 'snakes', hence the moniker, 'word' 'snakes'."
,5,,569,包,ホウ,つつ・む,"The correct way to 'bind up' a 'snake' is to tightly WRAP it in linen. For the primitive, picture something which has a *snake coiled around it."
,9,,570,胞,ホウ,,Ancient midwives thought the PLACENTA was a 'blanket' used to 'wrap' the baby's 'flesh'.
,10,,571,砲,ホウ,,The barrel of a CANNON 'wraps' around the 'stones' that are its ammunition.
,8,,572,泡,ホウ,あわ,Legend tells of a drowning kid who was spared from the 'water' when he was magically 'wrapped' in a great BUBBLE.
,11,,573,亀,キ,かめ,"In Znapfian myth, a great TORTOISE was said to have once 'bound up' the 'two suns' beneath its shell - and only one of those suns was ever liberated. Try to picture the 'tail' threading through the 'suns' to keep them tied down. * Bottom half only signifies an 'eel'; with both 'suns', picture a * bucket of eels."
,13,,574,電,デン,,"The first observation of ELECTRICITY involved 'eels' in the 'rain', sizzling and crackling inadvertently to the wonder of early philosophers."
,10,,575,竜,リュウ,たつ,Superstitious Znapfians kept pickled 'eels' in translucent 'vases' and boasted that they were DRAGONS - hence the name 'vase' 'eel'.
,13,,576,滝,,たき,"The first WATERFALL was unleashed when a clumsy 'eel', unaware of its cumbersome length, disturbed an enormous 'vase' of 'water' (which had been set aside to water a god's hydrangeas)."
,11,,577,豚,トン,ぶた,PORK is of course 'flesh' of the 'sow'.
,10,,578,逐,チク,,The police ('sows') hit the 'road' to PURSUE a perp (maybe that poor escaping turtle from before!)
,11,,579,遂,スイ,と・げる,"Just picture a 'horned' 'sow' (a boar) hitting the 'road' on honeymoon, eager to CONSUMMATE a piggy marriage."
,10,,580,家,カ　　ケ,いえ　　や,The kanji for HOUSE defines a 'house' as the place you keep your 'sow'.
,13,,581,嫁,カ,よめ　　とつ・ぐ,"In Japan, a 'woman' leaves her own home to MARRY INTO her husband's 'house'."
,14,,582,豪,ゴウ,,"Think of the OVERPOWERING odour of the 'tall' 'crowned' 'sow', sovereign of all the piggy peoples."
,13,,583,腸,チョウ,,One Znapfian custom involved swallowing coins to feed the 'flesh' 'piggy bank' that was imagined to be your INTESTINES.
